"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent","prolific_id","att_1","att_2","comp","text_explain","q1","q2","q3","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","education","education_8_TEXT","PROLIFIC_PID","Group"
"2024-04-17 13:12:30","2024-04-17 13:14:23","IP Address","Anonymized","100","112","True","2024-04-17 13:14:24","R_2gu84o5mEzzocrL","","","","","Anonymized","Anonymized","anonymous","EN","I agree","5a6b53f3e70ca900017ab75a","Paul","Purple","You were asked to watch a video","There was an old Asian man.  He moved his head.  Video was so fast I couldn't see anything else he did","no.  Make it play a little slower next time.","no","No","Female","","White or European","","77","College Graduate (4 year)","","5a6b53f3e70ca900017ab75a","Video5"
"2024-04-17 13:11:45","2024-04-17 13:14:27","IP Address","Anonymized","100","161","True","2024-04-17 13:14:27","R_3nfDIBLddbcXBYt","","","","","Anonymized","Anonymized","anonymous","EN","I agree","63f2f1469fb6bfe8a8cef51f","Paul","Purple","You were asked to watch a video","A man was talking to the camera while an uncanny-valley ass little girl robot thing turned its head around.","it just felt random","the robot girl, mainly","Yes","Male","","Mixed","","37","College Graduate (4 year)","","63f2f1469fb6bfe8a8cef51f","Video6"
"2024-04-17 13:11:44","2024-04-17 13:14:30","IP Address","Anonymized","100","166","True","2024-04-17 13:14:31","R_11XX8HjNMn4Hq09","","","","","Anonymized","Anonymized","anonymous","EN","I agree","6400e79fec0b310140841aee","Paul","Purple","You were asked to watch a video","A grey haired man in profile blinks a few times","The man seemed slightly stressed or incredulous","No","No","Female","","White or European","","33","College Graduate (4 year)","","6400e79fec0b310140841aee","Video4"
"2024-04-17 13:13:26","2024-04-17 13:14:31","IP Address","Anonymized","100","64","True","2024-04-17 13:14:31","R_3h0JhYukbgg4erv","","","","","Anonymized","Anonymized","anonymous","EN","I agree","5b9bca2b948c2c0001fb01e0","Paul","Purple","You were asked to watch a video","A man stared into the distance.","No","No","No","Male","","White or European","","38","Vocational/Technical School (2 year)","","5b9bca2b948c2c0001fb01e0","Video4"
"2024-04-17 13:06:37","2024-04-17 13:14:38","IP Address","Anonymized","100","481","True","2024-04-17 13:14:39","R_2OMLlzIQY2VxZcM","","","","","Anonymized","Anonymized","anonymous","EN","I agree","616c1fcac7ebb587448f2f1c","Paul","Purple","You were asked to watch a video","The video showed the face of an older man with gray hair. He nodded slightly and blinked but nothing else happened.","My initial thought is that I'm not sure what message or meaning the video was supposed to convey.","No.","No","Female","","White or European","","37","College Graduate (4 year)","","616c1fcac7ebb587448f2f1c","Video4"
"2024-04-17 13:12:00","2024-04-17 13:14:41","IP Address","Anonymized","100","161","True","2024-04-17 13:14:41","R_7OZH41ERZj8nisR","","","","","Anonymized","Anonymized","anonymous","EN","I agree","6470e6d980e11b13754c390b","Paul","Purple","You were asked to watch a video","A girl was wispering","Nothing","No","No","Male","","White or European","","57","Masters Degree (MS)","","6470e6d980e11b13754c390b","Video1"
"2024-04-17 13:11:28","2024-04-17 13:14:42","IP Address","Anonymized","100","193","True","2024-04-17 13:14:42","R_7esnkdqffkf9J3Q","","","","","Anonymized","Anonymized","anonymous","EN","I agree","62c4e4c60e629290bedab9d4","Paul","Purple","You were asked to watch a video","A chinese or asain man with glasses on tipped in head forward and nodded/ shock his head up and down ","no i thought the video was fine although I did not get any volume to work even though my desktop volume was on and working","no volume","No","Male","","White or European","","27","College Graduate (4 year)","","62c4e4c60e629290bedab9d4","Video3"
"2024-04-17 13:09:55","2024-04-17 13:14:45","IP Address","Anonymized","100","289","True","2024-04-17 13:14:45","R_3SUzLkIf5090WSR","","","","","Anonymized","Anonymized","anonymous","EN","I agree","5cf804f0c5cf0e00010c02d5","Paul","Purple","You were asked to watch a video","A man in a white shirt seemed to be motioning his arms and trying to explain something to someone in front of him. He made a leaning motion and straighten back up and continued talking while people moved around in the background. ","It was a very fast video and it seemed to be in a busy environment.","It was so fast that man moving seemed almost robotic like.","Yes","Female","","White or European","","36","Some College","","5cf804f0c5cf0e00010c02d5","Video2"
"2024-04-17 13:13:00","2024-04-17 13:14:47","IP Address","Anonymized","100","107","True","2024-04-17 13:14:47","R_5pkD9zRSgikAOEF","","","","","Anonymized","Anonymized","anonymous","EN","I agree","614fdfcd552f1cd4e0d8b8f5","Paul","Purple","You were asked to watch a video","A robot looking woman was nodding her head","Weird!!","No, just that the person did not look real","Yes","Female","","White or European","","62","High School or Equivalent","","614fdfcd552f1cd4e0d8b8f5","Video1"
"2024-04-17 13:12:49","2024-04-17 13:14:47","IP Address","Anonymized","100","117","True","2024-04-17 13:14:47","R_2fg0p6ElRSTBo3b","","","","","Anonymized","Anonymized","anonymous","EN","I agree","55a5fe86fdf99b28b426af51","Paul","Purple","You were asked to watch a video","An older man with a black cloth on his head looked up then down. ","None","The man was animited. ","No","Female","","Black or African American","","32","Some College","","55a5fe86fdf99b28b426af51","Video5"
"2024-04-17 13:13:41","2024-04-17 13:14:48","IP Address","Anonymized","100","67","True","2024-04-17 13:14:49","R_1dWkKeDTZWjiNVC","","","","","Anonymized","Anonymized","anonymous","EN","I agree","63f779382e81070cd6f77b5e","Paul","Purple","You were asked to watch a video","Not much...there was a man who looked like he said something.","None.","There was no sound","No","Female","","White or European","","45","College Graduate (4 year)","","63f779382e81070cd6f77b5e","Video4"
"2024-04-17 13:13:04","2024-04-17 13:14:51","IP Address","Anonymized","100","107","True","2024-04-17 13:14:52","R_6CICo5XqDxKgff3","","","","","Anonymized","Anonymized","anonymous","EN","I agree","608db0d33c7ffc2af3600478","Paul","Purple","You were asked to watch a video","It appeared to be an interview with a male individual possibly of Asian descent","I was confused as to what I was watching","It seemed very grainy as if filmed from a long time ago","No","Male","","Asian","","37","College Graduate (4 year)","","608db0d33c7ffc2af3600478","Video2"
"2024-04-17 13:11:52","2024-04-17 13:14:53","IP Address","Anonymized","100","181","True","2024-04-17 13:14:54","R_52K9qdE2aRl6DRf","","","","","Anonymized","Anonymized","anonymous","EN","I agree","5b68cd41263ecb0001343cb9","Paul","Green","You were asked to watch a video","an older man gestured with his hands in front of a crowd","not particularly, outside of feeling like the man may be important","no","No","Female","","White or European","","27","Masters Degree (MS)","","5b68cd41263ecb0001343cb9","Video2"
"2024-04-17 13:12:02","2024-04-17 13:14:54","IP Address","Anonymized","100","172","True","2024-04-17 13:14:55","R_5zkeVAbKjezGeki","","","","","Anonymized","Anonymized","anonymous","EN","I agree","6482f94e03d469a7669bade6","Paul","Purple","You were asked to watch a video","A guy was nodding his head","None","No","No","Male","","Black or African American","","54","College Graduate (4 year)","","6482f94e03d469a7669bade6","Video3"
