"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","DistributionChannel","UserLanguage","bot","benefits","human","comfort_1","likely_1","check","easy_1","PROLIFIC_PID","condition","bot.1","benefits.1","human.1","humans_DO_human"
"10/20/22 10:49","10/20/22 10:50",0,100,27,1,"10/20/22 10:50","R_UxTlifCiIOpjfiN",NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,8,7,"Health and wellness",NA,"5d786510dce93b00182ab480","person",NA,NA,1,1
"10/20/22 10:48","10/20/22 10:50",0,100,100,1,"10/20/22 10:50","R_ylk8zh9lGcf17RD",NA,NA,NA,NA,"anonymous","EN",NA,1,NA,10,10,"Health and wellness",9,"6106deb7beda48755be6b6ee","robot",NA,1,NA,NA
"10/20/22 10:47","10/20/22 10:50",0,100,212,1,"10/20/22 10:50","R_1Ldi07nn1RwG5XX",NA,NA,NA,NA,"anonymous","EN",NA,1,NA,6,8,"A health and wellness store",5,"60fe1dea817e3234e9b8c122","robot",NA,1,NA,NA
"10/20/22 10:50","10/20/22 10:51",0,100,103,1,"10/20/22 10:51","R_3qNZAc368wSuaUo",NA,NA,NA,NA,"anonymous","EN",1,NA,NA,0,0,"Health and Fitness",5,"63174f52c207f299e8f8dc08","robot",1,NA,NA,NA
"10/20/22 10:48","10/20/22 10:51",0,100,220,1,"10/20/22 10:51","R_2D82kiGs6obajEh",NA,NA,NA,NA,"anonymous","EN",NA,NA,1,7,7,"health and wellness",NA,"6101ceb34a3a20c05e35511d","person",NA,NA,1,1
"10/20/22 10:49","10/20/22 10:51",0,100,162,1,"10/20/22 10:51","R_6nuwXFH36pSQvXr",NA,NA,NA,NA,"anonymous","EN",NA,NA,1,8,8,"The store sells vitamins and supplements for yoga and meditation.",NA,"627920bf48e6cf4191a98f65","person",NA,NA,1,1
"10/20/22 10:49","10/20/22 10:52",0,100,145,1,"10/20/22 10:52","R_1ltlTBIMMYQhgfl",NA,NA,NA,NA,"anonymous","EN",NA,1,NA,3,3,"Health and wellness store",9,"6108695d1e19337bcd1fb417","robot",NA,1,NA,NA
"10/20/22 10:51","10/20/22 10:52",0,100,81,1,"10/20/22 10:52","R_2PolcmkTFKpnQKW",NA,NA,NA,NA,"anonymous","EN",NA,1,NA,10,10,"Health and wellness",10,"610d7c6a95a9ebcd19ba63ab","robot",NA,1,NA,NA
"10/20/22 10:50","10/20/22 10:52",0,100,112,1,"10/20/22 10:52","R_aVOicIfd5RBnTNf",NA,NA,NA,NA,"anonymous","EN",NA,NA,1,10,10,"wellness, health, herbal",NA,"6101aae23efe687ec3d4a2eb","person",NA,NA,1,1
"10/20/22 10:51","10/20/22 10:52",0,100,63,1,"10/20/22 10:52","R_3g7AjoAVPjfmgPq",NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,9,10,"A wellness store that sells herbal supplements and whatnot",NA,"605e7128df8c4c15687386b4","person",NA,NA,1,1
"10/20/22 10:51","10/20/22 10:52",0,100,97,1,"10/20/22 10:52","R_3lPli0vb5e1UAWO",NA,NA,NA,NA,"anonymous","EN",1,NA,NA,8,10,"health and wellness",6,"5a01a0fd728b1b0001ad89f8","robot",1,NA,NA,NA
"10/20/22 10:51","10/20/22 10:53",0,100,147,1,"10/20/22 10:53","R_3MimphkfWWwGT58",NA,NA,NA,NA,"anonymous","EN",1,NA,NA,10,10,"some sort of wellness store",7,"62f6ff0fe96a1ece1bb0ddac","robot",1,NA,NA,NA
"10/20/22 10:48","10/20/22 10:54",0,100,366,1,"10/20/22 10:54","R_3DiJCL6HnkaI2h1",NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,1,1,"Health",5,"62fe7ba9fb73cb6db493ca03","robot",NA,1,NA,NA
"10/20/22 10:54","10/20/22 10:54",0,100,38,1,"10/20/22 10:54","R_WdgxCHRcZz9eSrv",NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,9,9,"health store",NA,"5be8353e33f40a0001031d7a","person",NA,NA,1,1
"10/20/22 10:53","10/20/22 10:54",0,100,96,1,"10/20/22 10:54","R_28YwviIQGtcypZq",NA,NA,NA,NA,"anonymous","EN",1,NA,NA,10,7,"Health and Wellness",7,"5e46f490a5748507c57e3c5f","robot",1,NA,NA,NA
"10/20/22 10:54","10/20/22 10:54",0,100,28,1,"10/20/22 10:54","R_1pXd8lldRVIdrVT",NA,NA,NA,NA,"anonymous","EN",NA,NA,1,9,9,"health and wellness",NA,"585716b522a6220001da6cb4","person",NA,NA,1,1
"10/20/22 10:52","10/20/22 10:55",0,100,138,1,"10/20/22 10:55","R_2v9aPbecRdEHlVI",NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,9,9,"health food store",8,"60887a654f55f863e95ca944","robot",NA,1,NA,NA
"10/20/22 10:54","10/20/22 10:55",0,100,75,1,"10/20/22 10:55","R_2CpliYNkUDh6d77",NA,NA,NA,NA,"anonymous","EN",NA,NA,1,10,10,"I don't remember",NA,"585dd349445a5f00019b3b7c","person",NA,NA,1,1
"10/20/22 10:54","10/20/22 10:55",0,100,92,1,"10/20/22 10:55","R_3jZDHqSkSBgz3pj",NA,NA,NA,NA,"anonymous","EN",NA,1,NA,1,0,"health and wellness/herbal",9,"610765c6d41933eba28b45a9","robot",NA,1,NA,NA
"10/20/22 10:53","10/20/22 10:55",0,100,121,1,"10/20/22 10:55","R_1H77LxiVefOTwAR",NA,NA,NA,NA,"anonymous","EN",1,NA,NA,2,2,"Health and wellness store",9,"5da1faa05fc25100172a5562","robot",1,NA,NA,NA
"10/20/22 10:55","10/20/22 10:55",0,100,47,1,"10/20/22 10:55","R_1esqy016jfOWPIf",NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,6,6,"health and wellness",NA,"60443e19710c894c2c6b8124","person",NA,NA,1,1
"10/20/22 10:54","10/20/22 10:56",0,100,90,1,"10/20/22 10:56","R_BWWuHZAzQm6ZLmV",NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,8,7,"Health and Wellness",10,"5eab7b2dc1324e1586bdee53","robot",1,NA,NA,NA
"10/20/22 10:55","10/20/22 10:56",0,100,43,1,"10/20/22 10:56","R_1mtkEbFzGFwJ9Vw",NA,NA,NA,NA,"anonymous","EN",NA,NA,1,10,10,"Health and Wellness Store",NA,"6318d4e1cddc4996ba1f7ded","person",NA,NA,1,1
"10/20/22 10:55","10/20/22 10:56",0,100,42,1,"10/20/22 10:56","R_1ialzE57k7i48E1",NA,NA,NA,NA,"anonymous","EN",NA,NA,1,10,10,"Health and wellness store",NA,"6337439a6a667a94fa8e8b87","person",NA,NA,1,1
"10/20/22 10:53","10/20/22 10:56",0,100,170,1,"10/20/22 10:56","R_WB6Dv2YIHKMqO6l",NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,2,0,"Health and wellness store",3,"60258b14dde99512dc57b339","robot",1,NA,NA,NA
"10/20/22 10:56","10/20/22 10:57",0,100,32,1,"10/20/22 10:57","R_2yjgwhkhMN0Byf7",NA,NA,NA,NA,"anonymous","EN",NA,NA,1,6,5,"Health and wellness",NA,"53a9a1a6fdf99b5cf1a36ee0","person",NA,NA,1,1
"10/20/22 10:54","10/20/22 10:57",0,100,181,1,"10/20/22 10:57","R_27f13yCqaMex83C",NA,NA,NA,NA,"anonymous","EN",NA,1,NA,5,4,"fabrics",9,"5ed45b0cfff60d41d43c3556","robot",NA,1,NA,NA
"10/20/22 10:53","10/20/22 10:57",0,100,218,1,"10/20/22 10:57","R_2c1624egdJACTn0",NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,10,10,"health and wellness",9,"5d0e88a255f0c70015345bdd","robot",NA,1,NA,NA
"10/20/22 10:56","10/20/22 10:57",0,100,29,1,"10/20/22 10:57","R_eXyXhsgeKNC8SxH",NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,7,7,"Health and wellness/vitamins",NA,"6119678dae747a4f82d37241","person",NA,NA,1,1
"10/20/22 10:55","10/20/22 10:57",0,100,99,1,"10/20/22 10:57","R_Y49tlE2vhMO4KkN",NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,5,5,"health and wellness store",5,"6150a73a1ceb25b4c866c4ee","robot",NA,1,NA,NA
"10/20/22 10:55","10/20/22 10:57",0,100,139,1,"10/20/22 10:57","R_WCEr0yUBrtP7nDr",NA,NA,NA,NA,"anonymous","EN",NA,1,NA,10,5,"health and wellness store",10,"5eaff2eac963900392c6dc48","robot",NA,1,NA,NA
"10/20/22 10:55","10/20/22 10:57",0,100,112,1,"10/20/22 10:57","R_10oQD6t9bdy3c3F",NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,7,7,"Health and wellness store",6,"62cb22842f1ec39a29ca4a2c","robot",1,NA,NA,NA
"10/20/22 10:55","10/20/22 10:57",0,100,123,1,"10/20/22 10:57","R_XiFe6sg9BxPO10Z",NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,8,2,"vitamin store",9,"60cac6e750602e711ed5efc6","robot",1,NA,NA,NA
"10/20/22 10:56","10/20/22 10:58",0,100,114,1,"10/20/22 10:58","R_3Mz0bCo0XRYjvb3",NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,5,5,"Store that sold health products like vitamins",9,"60ebe5aeb6137d5f2b9f436f","robot",1,NA,NA,NA
"10/20/22 10:56","10/20/22 10:58",0,100,92,1,"10/20/22 10:58","R_31GDYhhdapeufQ7",NA,NA,NA,NA,"anonymous","EN",1,NA,NA,4,2,"health and wellness",2,"5e67f8fbfade0707579a1eab","robot",1,NA,NA,NA
"10/20/22 10:54","10/20/22 10:58",0,100,216,1,"10/20/22 10:58","R_2fmarVeIBO4exyQ",NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,8,9,"A health and wellness store",8,"62cef3a68ad303ac017d56a7","robot",1,NA,NA,NA
"10/20/22 10:58","10/20/22 10:58",0,100,34,1,"10/20/22 10:58","R_3JgsuhRUontMMZ7",NA,NA,NA,NA,"anonymous","EN",NA,NA,1,8,8,"health and wellness store",NA,"61018e110680d3e45deb53ad","person",NA,NA,1,1
