Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
634dc7cfc255099cc2e9535f,5ce9bfc4d439ae00015968dd,APPROVED,2022-10-17T21:23:32.505000Z,2022-10-17T21:25:14.680000Z,2022-10-17T21:25:15.644000Z,2022-10-17T21:25:15.571896Z,103,C144ZYME,1142,25,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
634dc7d56765681284a9fb2a,5ef54b31234db61ac1c7fdb0,APPROVED,2022-10-17T21:23:38.658000Z,2022-10-17T21:24:39.505000Z,2022-10-17T21:24:39.925000Z,2022-10-17T21:24:39.856765Z,61,C144ZYME,1727,41,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
634dc7d581b3d668ca84f0de,602f4985151d50c1a4248f82,APPROVED,2022-10-17T21:23:36.627000Z,2022-10-17T21:24:14.726000Z,2022-10-17T21:24:15.223000Z,2022-10-17T21:24:15.147850Z,39,C144ZYME,412,39,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time,
634dc7d77672f04864130dcf,60fb2b3ed9da1acb87905100,APPROVED,2022-10-17T21:23:39.270000Z,2022-10-17T21:24:52.906000Z,2022-10-17T21:24:53.356000Z,2022-10-17T21:24:53.283355Z,74,C144ZYME,300,27,Male,Mixed,United States,United States,United States,Spanish,No,DATA_EXPIRED,
634dc7e1ba7565095d061c9f,5e9a2251a69f690b9cc31ede,APPROVED,2022-10-17T21:23:48.305000Z,2022-10-17T21:24:16.947000Z,2022-10-17T21:24:17.432000Z,2022-10-17T21:24:17.366683Z,29,C144ZYME,1315,34,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
634dc7e242a7ead45ac1473f,6294de1b341cd20e308d1a4a,APPROVED,2022-10-17T21:23:50.392000Z,2022-10-17T21:26:19.273000Z,2022-10-17T21:26:19.709000Z,2022-10-17T21:26:19.637317Z,149,C144ZYME,486,26,Female,White,United States,United States,United States,English,No,Full-Time,
634dc7e4dbe2a0914406816f,5f26378609aca228dcfd19fa,APPROVED,2022-10-17T21:23:51.846000Z,2022-10-17T21:25:40.058000Z,2022-10-17T21:25:40.540000Z,2022-10-17T21:25:40.463338Z,109,C144ZYME,820,22,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
634dc80b440171f1e41aa583,629464e9360c870e1e6eee85,APPROVED,2022-10-17T21:24:31.771000Z,2022-10-17T21:27:53.582000Z,2022-10-17T21:27:54.087000Z,2022-10-17T21:27:54.011130Z,202,C144ZYME,197,24,Male,Mixed,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
634dc81aca6238e48184f0cc,5cb53c86063f2b0001652dab,APPROVED,2022-10-17T21:24:51.305000Z,2022-10-17T21:27:34.518000Z,2022-10-17T21:27:35.479000Z,2022-10-17T21:27:35.403741Z,164,C144ZYME,199,22,Male,White,United States,United States,United States,English,No,Full-Time,
634dc81c963d19f3a81d1125,5c33a10c88e52b00017eb86f,APPROVED,2022-10-17T21:24:48.851000Z,2022-10-17T21:26:22.865000Z,2022-10-17T21:26:23.498000Z,2022-10-17T21:26:23.429071Z,95,C144ZYME,2490,60,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
